pid,artist,song,album,album_artist,year,label,instrument,notes,order,layout,collection,thumbnail,manifest,full
sc1001,Ira Coleman,My Funny Valentine,Talisman,Barney Wilen,1994,Ira Coleman - My Funny Valentine,Bass,,00,transcriptions_item,transcriptions,/img/derivatives/simple/sc1001_2/thumbnail.jpg,/img/derivatives/iiif/sc1001/manifest.json,/img/derivatives/simple/sc1001_2/fullwidth.jpg
sc1002,Andy Gonzalez,Footprints,Live In Brooklyn,Arturo O'Farill,2005,Andy Gonzalez - Footprints,Bass,"this is the intro only, one that I absolutely love",01,transcriptions_item,transcriptions,/img/derivatives/simple/sc1002_0/thumbnail.jpg,/img/derivatives/iiif/sc1002/manifest.json,/img/derivatives/simple/sc1002_0/fullwidth.jpg
sc1003,Ben Wolf,Blue Monk,The Dancing Monk,Eric Reed,2011,Ben Wolf - Blue Monk,Bass,,02,transcriptions_item,transcriptions,/img/derivatives/simple/sc1003_2/thumbnail.jpg,/img/derivatives/iiif/sc1003/manifest.json,/img/derivatives/simple/sc1003_2/fullwidth.jpg
sc1004,Abdul Malik,'Round Midnight,Misterioso,Thelonious Monk,1958,Abdul Malik - 'Round Midnight,Bass,"One of the earlier bass transcriptions I did, listening through again, there's a few mistakes but mostly there",03,transcriptions_item,transcriptions,/img/derivatives/simple/sc1004_2/thumbnail.jpg,/img/derivatives/iiif/sc1004/manifest.json,/img/derivatives/simple/sc1004_2/fullwidth.jpg
sc1005,Boris Kozlov,Four,Ronnie,Ronnie Cuber,2009,Boris Kozlo - Four,Bass,"1st head only, needed to get an idea of how to get started for a gig",04,transcriptions_item,transcriptions,/img/derivatives/simple/sc1005_0/thumbnail.jpg,/img/derivatives/iiif/sc1005/manifest.json,/img/derivatives/simple/sc1005_0/fullwidth.jpg
sc1006,Charlie Haden,Body & Soul,None But the Lonely,Charlie Haden & Chris Anderson,1997,Charlie Haden - Body & Soul,Bass,"Head, plus a few bars of the bass solo",05,transcriptions_item,transcriptions,/img/derivatives/simple/sc1006_2/thumbnail.jpg,/img/derivatives/iiif/sc1006/manifest.json,/img/derivatives/simple/sc1006_2/fullwidth.jpg
sc1007,Clint Houston,Uncle Bubba,Monsoon,Gary Bartz,1988,Clint Houston - Uncle Bubba,Bass,"Head, plus first three choruses",06,transcriptions_item,transcriptions,/img/derivatives/simple/sc1007_2/thumbnail.jpg,/img/derivatives/iiif/sc1007/manifest.json,/img/derivatives/simple/sc1007_2/fullwidth.jpg
sc1008,David Williams,Skylark,Manhattan Afternoon,Cedar Walton,1992,David Williams - Skylark,Bass,Head only,07,transcriptions_item,transcriptions,/img/derivatives/simple/sc1008_0/thumbnail.jpg,/img/derivatives/iiif/sc1008/manifest.json,/img/derivatives/simple/sc1008_0/fullwidth.jpg
sc1009,David Williams,Midnight Waltz,Midnight Waltz,Cedar Walton,2005,David Williams - Midnight Waltz,Bass,"I transcribed the bass through the multiple piano choruses, beautiful playing",08,transcriptions_item,transcriptions,/img/derivatives/simple/sc1009_5/thumbnail.jpg,/img/derivatives/iiif/sc1009/manifest.json,/img/derivatives/simple/sc1009_5/fullwidth.jpg
sc1010,David Wong,I'll String Along With You,Down With It,Dmitry Beavsky,2010,David Wong - I'll String Along With You,Bass,"I wanted to play this on guitar as well, so the transcription is of the head with bass and alto transcribed but needed it transposed in C which is why there's a ""guitar"" instrument included",09,transcriptions_item,transcriptions,/img/derivatives/simple/sc1010_2/thumbnail.jpg,/img/derivatives/iiif/sc1010/manifest.json,/img/derivatives/simple/sc1010_2/fullwidth.jpg
sc1011,Derrick Hodge,If I Were A Bell,Live At Yoshi's Vol 1,Mulgrew Miller,2004,Derrick Hodge - If I Were A Bell,Bass,Head only,10,transcriptions_item,transcriptions,/img/derivatives/simple/sc1011_1/thumbnail.jpg,/img/derivatives/iiif/sc1011/manifest.json,/img/derivatives/simple/sc1011_1/fullwidth.jpg
